No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
85,bmg2024htio,"2024-04-20T04:39:18,110714Z",-4.46581840515136,129.523315429687,4.53757802006772,M,174,70,46.2345123291015,Banda Sea,BMKG
86,bmg2024htaq,"2024-04-20T00:39:01,758708Z",4.89841604232788,126.907684326171,4.42566553156469,M,53,65,168.963333129882,"Talaud Islands, Indonesia",BMKG
87,bmg2024hsog,"2024-04-19T18:24:22,082808Z",-2.82083821296691,122.294860839843,3.75188188541423,M,6,141,74.9414138793945,"Sulawesi, Indonesia",BMKG
88,bmg2024hrxo,"2024-04-19T09:58:15,007643Z",1.05439019203186,126.880241394042,3.33026423587368,M,20,19,120.005340576171,Northern Molucca Sea,BMKG
89,bmg2024hrsl,"2024-04-19T07:22:54,782156Z",-2.90654563903808,119.376388549804,3.3941294555477,MLv,10,62,69.2591247558593,"Sulawesi, Indonesia",BMKG
90,bmg2024hrpu,"2024-04-19T06:02:04,922623Z",1.50917339324951,124.896903991699,4.36497846760844,M,206,48,105.712531089782,"Minahassa Peninsula, Sulawesi",BMKG
91,bmg2024hree,"2024-04-19T00:10:14,82819Z",-3.28246402740478,123.469215393066,3.60950404053716,M,37,33,114.275527954101,"Sulawesi, Indonesia",BMKG
92,bmg2024hqjd,"2024-04-18T13:32:39,72661Z",0.891665279865264,119.341583251953,2.94472523284808,M,5,17,134.166549682617,"Minahassa Peninsula, Sulawesi",BMKG
93,bmg2024hpld,"2024-04-18T01:24:44,562891Z",1.46353244781494,126.980224609375,3.11536442520334,M,108,26,94.6403198242187,Northern Molucca Sea,BMKG
94,bmg2024hpcx,"2024-04-17T21:15:59,096869Z",2.7582733631134,125.705154418945,4.12099572198737,M,131,43,87.7785949707031,"Talaud Islands, Indonesia",BMKG
95,bmg2024hpbo,"2024-04-17T20:34:38,220709Z",1.59472453594207,124.340431213378,4.10528524874976,M,277,50,141.741474151611,"Minahassa Peninsula, Sulawesi",BMKG
96,bmg2024hpbf,"2024-04-17T20:24:20,959204Z",-0.772605001926422,121.632614135742,2.17684441785885,M,5,17,137.496250152587,"Minahassa Peninsula, Sulawesi",BMKG
97,bmg2024hpaz,"2024-04-17T20:17:10,448276Z",-2.81444644927978,129.308944702148,3.27174378210889,M,5,20,121.712793350219,"Seram, Indonesia",BMKG
98,bmg2024hoyt,"2024-04-17T19:09:52,271925Z",-0.784854054450988,121.639694213867,2.6603628676095,M,5,30,49.0325851440429,"Minahassa Peninsula, Sulawesi",BMKG
99,bmg2024hoof,"2024-04-17T13:50:24,905498Z",-1.0131938457489,121.292907714843,3.58045305212866,M,5,68,50.4090576171875,"Sulawesi, Indonesia",BMKG
100,bmg2024hona,"2024-04-17T13:13:56,903035Z",1.73230624198913,124.365974426269,4.04623136525641,M,272,28,145.182327270507,"Minahassa Peninsula, Sulawesi",BMKG
101,bmg2024hodt,"2024-04-17T08:32:31,291843Z",-2.53284263610839,121.464515686035,3.10446788388851,M,5,40,81.3023681640625,"Sulawesi, Indonesia",BMKG
102,bmg2024hocy,"2024-04-17T08:08:48,622137Z",2.34699988365173,125.377563476562,3.49562650801013,M,10,15,132.241784811019,"Talaud Islands, Indonesia",BMKG
103,bmg2024hnwm,"2024-04-17T04:52:24,233177Z",1.27481603622436,128.600402832031,4.09831512777314,M,13,38,135.370971679687,"Halmahera, Indonesia",BMKG
104,bmg2024hnrs,"2024-04-17T02:27:47,791847Z",-1.96684396266937,122.572853088378,3.9858029554728,M,5,54,92.9002075195312,"Sulawesi, Indonesia",BMKG
105,bmg2024hnpo,"2024-04-17T01:23:15,519191Z",-0.346821039915084,123.779006958007,4.22021695192441,M,102,51,100.145946502685,"Minahassa Peninsula, Sulawesi",BMKG
106,bmg2024hnlp,"2024-04-16T23:22:38,558785Z",2.36276888847351,128.373840332031,3.39365631319104,M,211,22,224.406005859375,"Halmahera, Indonesia",BMKG
107,bmg2024hndq,"2024-04-16T19:20:47,800332Z",-7.06083106994628,129.87449645996,4.22575045699693,M,179,20,62.8011474609375,Banda Sea,BMKG
108,bmg2024hmxi,"2024-04-16T16:10:22,568239Z",-2.44474411010742,120.77684020996,2.34395002966786,M,10,21,114.436363220214,"Sulawesi, Indonesia",BMKG
109,bmg2024hmta,"2024-04-16T13:59:14,353452Z",-0.216981828212738,122.850471496582,3.44128322649698,M,83,58,58.6459732055664,"Minahassa Peninsula, Sulawesi",BMKG
110,bmg2024hmox,"2024-04-16T11:54:35,147241Z",4.07468461990356,126.556823730468,3.39762050892346,M,35,13,179.074653625488,"Talaud Islands, Indonesia",BMKG
111,bmg2024hmbi,"2024-04-16T05:03:27,788275Z",-3.11184859275817,123.485687255859,3.32037224719609,M,33,20,188.775141358375,"Sulawesi, Indonesia",BMKG
112,bmg2024hlrs,"2024-04-16T00:11:18,908225Z",-1.09729647636413,129.627578735351,3.99330903514042,M,11,44,75.3898315429687,"Halmahera, Indonesia",BMKG
113,bmg2024hlpt,"2024-04-15T23:12:10,732595Z",-0.0717008560895919,122.959983825683,3.28017571245823,M,136,25,131.369842529296,"Minahassa Peninsula, Sulawesi",BMKG
114,bmg2024hlhb,"2024-04-15T18:48:53,656222Z",-2.44322276115417,121.109580993652,2.62613910838552,M,10,17,98.2865333557128,"Sulawesi, Indonesia",BMKG
115,bmg2024hlgu,"2024-04-15T18:40:28,53097Z",-2.46270060539245,121.134178161621,2.6976641122221,M,10,22,91.941177368164,"Sulawesi, Indonesia",BMKG
116,bmg2024hlgj,"2024-04-15T18:27:16,151007Z",-6.70869159698486,128.64842224121,4.13077994862674,M,24,36,116.032920837402,Banda Sea,BMKG
117,bmg2024hkmr,"2024-04-15T08:31:03,387262Z",-7.25485944747924,129.268859863281,4.43456155222601,M,166,29,55.9717559814453,Banda Sea,BMKG
118,bmg2024hkca,"2024-04-15T03:07:24,124039Z",1.3008142709732,126.202583312988,3.35427559056189,M,10,14,115.681655883789,Northern Molucca Sea,BMKG
119,bmg2024hjwn,"2024-04-15T00:21:29,323352Z",2.68500280380249,128.762741088867,3.45660375212156,M,23,13,247.1650390625,"Halmahera, Indonesia",BMKG
120,bmg2024hjhy,"2024-04-14T16:59:03,767036Z",-0.0921287983655929,123.142616271972,2.82290280236154,M,121,30,101.372272491455,"Minahassa Peninsula, Sulawesi",BMKG
121,bmg2024hjeg,"2024-04-14T15:06:55,339314Z",0.533422648906707,126.611000061035,4.27753367077076,M,15,20,78.474437713623,Northern Molucca Sea,BMKG
122,bmg2024hizd,"2024-04-14T12:31:46,093142Z",-3.96109318733215,128.431533813476,3.74117649216052,MLv,10,12,208.103981018066,"Seram, Indonesia",BMKG
123,bmg2024hiuw,"2024-04-14T10:22:28,535099Z",3.27028965950012,127.331535339355,3.46913773567287,M,55,9,180.449676513671,"Talaud Islands, Indonesia",BMKG
