No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Coun,Azimuth Ga,Location,Agency,field_13,lat,long
74,bmg2024heti,2024/04/12 05:03:45.122,-7.243028640747070,107.642959594726562,2.515273657126200,M,10,15,105.788236618042006,Java,Indonesia,BMKG,-7.243,108
75,bmg2024hauq,2024/04/10 01:10:54.024,-6.756255149841310,105.929473876953125,2.407439141600153,M,61,20,73.028213500976562,Sunda Strait,Indonesia,BMKG,-6.756,106
76,bmg2024gxpk,2024/04/08 07:07:59.534,-7.232268810272218,107.641227722167969,2.704074681061809,M,10,17,83.603546142578125,Java,Indonesia,BMKG,-7.232,108
77,bmg2024gsad,2024/04/05 05:44:26.074,-7.278466224670410,106.580139160156250,2.126842656701093,M,39,17,128.922126770019531,Java,Indonesia,BMKG,-7.278,107
78,bmg2024gmxf,2024/04/02 10:34:01.945,-7.276990413665770,106.545562744140625,2.785574599566087,M,47,29,105.114761352539062,Java,Indonesia,BMKG,-7.277,107
79,bmg2024gkjv,2024/04/01 01:31:49.218,-7.285343647003174,106.548362731933594,3.264173234776099,M,45,41,106.486274719238281,Java,Indonesia,BMKG,-7.285,107
80,bmg2024gkhy,2024/04/01 00:35:21.481,-7.078190803527832,105.865112304687500,3.013507662525928,M,10,27,197.784210205078125,Java,Indonesia,BMKG,-7.078,106
81,bmg2024jzvk,2024/05/22 05:01:40.714,-6.142913818359376,105.393188476562500,2.760481673480846,M,13,9,143.394699096679688,Sunda Strait,Indonesia,BMKG,-6.143,105
82,bmg2024jxds,2024/05/20 17:49:42.406,-6.982375144958496,106.621505737304688,2.694607642712080,M,130,25,73.295051574707017,Java,Indonesia,BMKG,-6.982,107
83,bmg2024jrvi,2024/05/17 19:54:53.613,-6.807158946990968,107.933746337890625,3.464397084888360,MLv,10,77,70.399108886718750,Java,Indonesia,BMKG,-6.807,108
84,bmg2024jnqw,2024/05/15 13:06:22.055,-6.832714557647706,107.104843139648438,2.820973545974054,M,10,35,68.686550140380859,Java,Indonesia,BMKG,-6.833,107
85,bmg2024jnkd,2024/05/15 09:42:55.482,-5.790206432342530,106.674179077148438,4.878883033046004,Mw(mB),263,227,35.136379241943359,Java,Indonesia,BMKG,-5.790,107
86,bmg2024jign,2024/05/12 14:12:00.929,-6.746182918548584,106.574874877929673,3.286049773861817,M,10,33,68.392730712890625,Java,Indonesia,BMKG,-6.746,107
87,bmg2024jcgf,2024/05/09 07:14:17.590,-6.768795967102052,106.643653869628906,3.357935222571065,M,10,51,55.434829711914062,Java,Indonesia,BMKG,-6.769,107
88,bmg2024iooi,2024/05/01 19:25:51.814,-6.990372180938722,106.256301879882812,2.187968074312173,M,101,25,142.522903442382812,Java,Indonesia,BMKG,-6.990,106
89,bmg2024iobc,2024/05/01 12:44:50.129,-7.047462463378906,105.372703552246094,3.191128853661015,M,15,36,224.266929626464844,Java,Indonesia,BMKG,-7.047,105
90,bmg2024ioaw,2024/05/01 12:37:36.687,-7.054034233093262,105.352836608886719,3.864835859158739,M,10,62,195.367126464843750,Java,Indonesia,BMKG,-7.054,105
91,bmg2024injs,2024/05/01 03:57:30.664,-6.438559055328370,107.307701110839844,2.836672970220185,M,10,25,80.936185836792006,Java,Indonesia,BMKG,-6.439,107
92,bmg2024inia,2024/05/01 03:06:11.494,-7.134665012359620,107.558364868164062,4.171043600663810,M,10,69,83.403366088867188,Java,Indonesia,BMKG,-7.135,108
