No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Coun,Azimuth Ga,Location,Agency,lat,long
64,bmg2024bgre,2024/01/18 21:01:44.473,-1.101552486000000,121.483291600000001,2.617894377000000,MLv,10,22,113.752260199999995,"Sulawesi, Indonesia",BMKG,-1.102,121.483
65,bmg2024bgrd,2024/01/18 21:00:28.875,-1.100924492000000,121.485542300000006,2.661489333000000,MLv,10,24,66.642150880000003,"Sulawesi, Indonesia",BMKG,-1.101,121.486
66,bmg2024bgqu,2024/01/18 20:49:27.674,-1.143843055000000,121.531700099999995,2.195091083000000,M,10,9,150.275138900000002,"Sulawesi, Indonesia",BMKG,-1.144,121.532
67,bmg2024bgqs,2024/01/18 20:47:57.786,-1.113415122000000,121.497306800000004,1.972144889000000,MLv,10,13,121.349575000000002,"Sulawesi, Indonesia",BMKG,-1.113,121.497
68,bmg2024bgqp,2024/01/18 20:44:29.410,-1.129351258000000,121.526321400000000,1.932001598000000,MLv,10,16,118.289800600000007,"Sulawesi, Indonesia",BMKG,-1.129,121.526
69,bmg2024bgql,2024/01/18 20:39:12.960,-2.370585680000000,121.182777400000006,3.269521591000000,MLv,10,44,49.773254389999998,"Sulawesi, Indonesia",BMKG,-2.371,121.183
70,bmg2024bgpo,2024/01/18 20:12:42.612,-1.074503064000000,121.482223500000003,2.404757424000000,MLv,10,21,92.047403340000002,"Sulawesi, Indonesia",BMKG,-1.075,121.482
71,bmg2024bgpg,2024/01/18 20:03:47.352,-3.824132442000000,121.893272400000001,2.439096063000000,MLv,10,12,79.651718140000000,"Sulawesi, Indonesia",BMKG,-3.824,121.893
72,bmg2024bgpb,2024/01/18 19:57:37.957,-1.105535984000000,121.510681199999993,2.945672185000000,MLv,10,18,65.970855709999995,"Sulawesi, Indonesia",BMKG,-1.106,121.511
73,bmg2024bgox,2024/01/18 19:52:57.252,-1.123824954000000,121.502922100000006,2.084321770000000,MLv,10,17,120.249841700000005,"Sulawesi, Indonesia",BMKG,-1.124,121.503
74,bmg2024bgou,2024/01/18 19:49:25.025,-1.108217239000000,121.476928700000002,1.780769614000000,MLv,10,13,113.515451400000003,"Sulawesi, Indonesia",BMKG,-1.108,121.477
75,bmg2024bgom,2024/01/18 19:39:46.152,-1.098015904000000,121.506500200000005,2.381443647000000,MLv,10,23,90.347153660000004,"Sulawesi, Indonesia",BMKG,-1.098,121.507
76,bmg2024bgob,2024/01/18 19:27:13.736,-1.100253940000000,121.504394500000004,2.407201226000000,MLv,10,27,90.292423249999999,"Sulawesi, Indonesia",BMKG,-1.100,121.504
