No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
74,bmg2024bgou,2024-01-18T19:49:25.02518Z,-1.108217239,121.4769287,1.780769614,MLv,10,13,113.5154514,"Sulawesi, Indonesia",BMKG
75,bmg2024bgom,2024-01-18T19:39:46.151506Z,-1.098015904,121.5065002,2.381443647,MLv,10,23,90.34715366,"Sulawesi, Indonesia",BMKG
76,bmg2024bgob,2024-01-18T19:27:13.736125Z,-1.10025394,121.5043945,2.407201226,MLv,10,27,90.29242325,"Sulawesi, Indonesia",BMKG
77,bmg2024bgny,2024-01-18T19:23:48.606713Z,-1.086803555,121.497612,2.470898521,MLv,10,21,104.1608276,"Sulawesi, Indonesia",BMKG
78,bmg2024bgnq,2024-01-18T19:13:54.453707Z,-1.069010019,121.5033875,3.689634793,MLv,10,62,46.61952209,"Sulawesi, Indonesia",BMKG
79,bmg2024bgnm,2024-01-18T19:10:18.512842Z,-1.054202199,121.5028152,2.927993558,MLv,10,39,68.50747681,"Sulawesi, Indonesia",BMKG
80,bmg2024bgnd,2024-01-18T18:59:08.930334Z,-1.078082085,121.5089264,2.210766855,MLv,10,19,114.311142,"Sulawesi, Indonesia",BMKG
81,bmg2024bgls,2024-01-18T18:16:12.119366Z,-1.051297069,121.4734344,3.889974623,MLv,10,54,56.46237183,"Sulawesi, Indonesia",BMKG
82,bmg2024bglr,2024-01-18T18:14:50.572418Z,-1.113031983,121.5047455,2.514559417,MLv,10,19,111.4355659,"Sulawesi, Indonesia",BMKG
83,bmg2024bglh,2024-01-18T18:03:00.880768Z,-1.102617264,121.4754791,4.769209552,MLv,10,51,35.31707001,"Sulawesi, Indonesia",BMKG
84,bmg2024bglb,2024-01-18T17:56:16.059021Z,-1.09668529,121.4759369,2.59976853,M,10,11,101.1426468,"Sulawesi, Indonesia",BMKG
85,bmg2024bgku,2024-01-18T17:48:25.128013Z,-1.092921615,121.506813,3.281185331,MLv,10,37,46.7414093,"Sulawesi, Indonesia",BMKG
86,bmg2024bgkk,2024-01-18T17:36:18.613457Z,-1.119667172,121.5168152,4.9934733,Mw(mB),10,207,31.80774689,"Sulawesi, Indonesia",BMKG
87,bmg2024bghs,2024-01-18T16:14:59.674823Z,-1.100901723,121.5035858,2.968282028,MLv,10,19,76.29154205,"Sulawesi, Indonesia",BMKG
88,bmg2024bghr,2024-01-18T16:13:55.850878Z,-1.090510368,121.4980698,3.336828301,MLv,10,55,47.6541748,"Sulawesi, Indonesia",BMKG
89,bmg2024bghp,2024-01-18T16:11:21.213326Z,-1.095477581,121.4831924,3.839805284,MLv,10,83,34.83693695,"Sulawesi, Indonesia",BMKG
90,bmg2024bghl,2024-01-18T16:06:40.356335Z,-1.098144531,121.4939575,4.529767089,MLv,10,118,31.57730103,"Sulawesi, Indonesia",BMKG
91,bmg2024bghj,2024-01-18T16:04:19.387715Z,-1.113484144,119.8058853,2.727671734,MLv,35,32,54.85714722,"Sulawesi, Indonesia",BMKG
92,bmg2024bggw,2024-01-18T15:49:12.593213Z,1.340712786,121.3374634,3.069934433,MLv,10,39,151.8607941,"Minahassa Peninsula, Sulawesi",BMKG
93,bmg2024bfrj,2024-01-18T07:59:21.411824Z,-1.083722115,120.2920074,2.632099632,MLv,13,9,117.4817047,"Sulawesi, Indonesia",BMKG
94,bmg2024benk,2024-01-17T16:51:37.714068Z,0.2579487562,122.3937073,4.155575064,MLv,133,68,45.75550461,"Minahassa Peninsula, Sulawesi",BMKG
95,bmg2024bdwp,2024-01-17T08:22:01.774791Z,1.074020267,121.2806625,2.694264538,M,10,10,147.5482216,"Minahassa Peninsula, Sulawesi",BMKG
96,bmg2024bdbl,2024-01-16T21:40:14.815966Z,-0.143309176,123.2907867,2.986959929,MLv,127,38,114.4022179,"Minahassa Peninsula, Sulawesi",BMKG
97,bmg2024bczm,2024-01-16T20:40:54.344201Z,-0.09930016845,123.1261139,3.315014483,MLv,133,53,63.10811234,"Minahassa Peninsula, Sulawesi",BMKG
98,bmg2024bcnt,2024-01-16T14:45:04.885488Z,-2.131727219,121.0714493,2.775319098,MLv,10,14,86.88605881,"Sulawesi, Indonesia",BMKG
99,bmg2024bbvd,2024-01-16T05:20:36.376879Z,-0.1598785073,122.819191,2.70713856,MLv,124,22,84.20217896,"Minahassa Peninsula, Sulawesi",BMKG
100,bmg2024bbtc,2024-01-16T04:19:09.995553Z,1.150483727,125.3957291,2.870985241,MLv,33,12,240.3470408,Northern Molucca Sea,BMKG
101,bmg2024bbpk,2024-01-16T02:26:50.738631Z,-1.103678584,121.485054,3.14782885,MLv,10,48,48.19195557,"Sulawesi, Indonesia",BMKG
102,bmg2024bbct,2024-01-15T20:03:36.904706Z,-1.253869295,120.7685547,2.92719059,MLv,5,57,38.54658508,"Sulawesi, Indonesia",BMKG
103,bmg2024baxr,2024-01-15T17:30:17.530982Z,-0.2393655777,122.873848,3.294526969,MLv,79,53,57.96884537,"Minahassa Peninsula, Sulawesi",BMKG
104,bmg2024batt,2024-01-15T15:30:48.95911Z,-1.158177972,120.5816116,3.356901518,MLv,10,58,41.88743305,"Sulawesi, Indonesia",BMKG
105,bmg2024baql,2024-01-15T13:50:14.635075Z,-1.573093295,120.4702606,2.373342166,M,10,19,63.91851807,"Sulawesi, Indonesia",BMKG
106,bmg2024bahc,2024-01-15T09:07:09.555383Z,-3.974388599,122.3988647,2.584899806,MLv,10,17,124.1425934,"Sulawesi, Indonesia",BMKG
107,bmg2024azgr,2024-01-14T19:45:18.813384Z,-0.3158061206,124.5800781,3.226493511,MLv,31,22,140.195395,Southern Molucca Sea,BMKG
108,bmg2024azga,2024-01-14T19:26:56.389789Z,0.3474414647,121.7636414,2.564668881,MLv,194,36,65.5007782,"Minahassa Peninsula, Sulawesi",BMKG
109,bmg2024ayou,2024-01-14T10:43:47.623842Z,0.5013380051,119.414299,2.991997666,M,10,30,143.8023071,"Minahassa Peninsula, Sulawesi",BMKG
110,bmg2024ayah,2024-01-14T03:24:08.446657Z,-0.1286005378,122.9143448,3.218116609,MLv,120,29,56.98632812,"Minahassa Peninsula, Sulawesi",BMKG
111,bmg2024axpw,2024-01-13T22:07:43.776451Z,1.220367789,124.5589523,4.201915352,MLv,237,55,120.4072113,"Minahassa Peninsula, Sulawesi",BMKG
