ID,ID2,KabKot, Long ,Lat,Y,X1,X2,X3,X4,X5
258,48,Kota Binjai,98.49,3.61,10500,4802.555556,58464.33333,4238.7,2639.191982,9858
259,47,Kota Medan,98.69,3.59,12000,4802.555556,58464.33333,4238.7,21962.72398,204300
260,45,Kota P. Siantar,99.07,2.96,12000,4712.5,58464.33333,4238.7,2457.966172,12444
262,44,Kota Tanjung Balai,99.8,2.97,11187.5,4802.555556,58464.33333,4238.7,1665.709113,7425
263,46,Kota Tebing Tinggi,99.13,3.31,11000,4783.222222,58464.33333,4238.7,1565.40246,5123
264,28,Labuhan Batu,99.83,2.09,12000,4802.555556,58464.33333,4238.7,4635.178139,29031
265,34,Langkat,98.46,3.76,12750,4775,58464.33333,4238.7,10060.29826,37023
266,50,Kota Gunung Sitoli,97.62,1.28,12000,4802.555556,58464.33333,4238.7,1356.464745,4504
268,36,Pakpak Barat,98.32,2.55,11000,5062.5,58464.33333,4238.7,457.0247757,996
269,30,Simalunggun,98.85,2.97,10820,4712.5,58464.33333,4238.7,8417.887643,32860
270,25,Tapanuli Tengah,98.4,2.01,11000,4775,58464.33333,4238.7,3516.131421,8555
271,27,Toba Samosir,99.07,2.33,10500,4900,58464.33333,4238.7,1780.083523,6656
272,88,Tebo,102.44,-1.49,12000,4280.057692,11480,1931.97,2745.486144,12996
273,89,Bungo,102.13,-1.49,11950,4212.5,11480,1931.97,2890.506633,16009
274,84,Batanghari,103.25,-1.72,11500,4000,11480,1931.97,2125.209062,14709
275,90,Kota Jambi,103.61,-1.59,10636.5,4280.057692,11480,1931.97,4708.348146,26294
277,11,Aceh Barat Daya,96.83,3.74,12875,5131.25,60768.66667,3454.75,1575.755369,3395
278,7,Aceh Besar,95.35,5.51,10000,5093.75,60768.66667,3454.75,4408.150137,11633
279,15,Aceh Jaya,95.79,4.47,11375,4950,60768.66667,3454.75,963.4283031,2278
280,13,Aceh Tamiang,98.6,4.29,11500,5450,60768.66667,3454.75,3110.795222,6517
